1015 464500 4.28265e+06 961.476 43.1651 36.0096
677 464400 4.28215e+06 965.564 43.4993 36.4837
541 464200 4.28235e+06 970.29 45.6213 39.9463
1789 464350 4.28225e+06 979.824 44.3683 37.712
1742 464200 4.28235e+06 983.816 43.9687 36.9767
2273 464200 4.28235e+06 992.834 43.8804 36.6625
4093 464200 4.28235e+06 995.503 44.4621 37.5723
4070 464200 4.28235e+06 998.446 44.6155 37.8011
4534 464200 4.28235e+06 999.313 45.485 39.2288
7059 464200 4.28235e+06 1003.41 44.4096 37.375
10106 464200 4.28235e+06 1007.45 44.2004 36.9531
13571 464200 4.28235e+06 1011.96 44.5512 37.464
15580 464200 4.28235e+06 1016.3 44.6692 37.5882
17105 464200 4.28235e+06 1020.65 45.0323 38.1227
19093 464200 4.28235e+06 1025.21 44.7175 37.5274
23527 464200 4.28235e+06 1034.17 45.2484 38.2437
27120 464200 4.28235e+06 1043.58 44.9235 37.5375
32125 464200 4.28235e+06 1052.54 45.7804 38.8183
35757 464200 4.28235e+06 1061.94 46.9413 40.5876
38529 464200 4.28235e+06 1072.53 47.9937 42.249
42795 464200 4.28235e+06 1082.13 47.5643 41.4139
46322 464200 4.28235e+06 1090.72 46.9618 40.2635
